CCAA de destino,Países,Trimestre,Total gasto,Total turistas,Dias estancia media
"Balears, Illes",Suecia,2023T2,"64233496,60","70147,00","5,80"
"Balears, Illes",Suecia,2023T1,"12154507,90","11169,00","8,30"
"Balears, Illes",Suecia,2022T4,"26770305,05","33210,00","7,70"
"Balears, Illes",Suecia,2022T3,"75894045,08","117089,00","6,07"
"Balears, Illes",Suecia,2022T2,"77712987,02","83000,00","5,73"
"Balears, Illes",Suecia,2022T1,"11766285,86","10358,00","8,53"
"Balears, Illes",Suecia,2021T4,"25319891,10","28362,00","7,63"
"Balears, Illes",Suecia,2021T3,"59115270,62","60349,00","6,63"
"Balears, Illes",Suecia,2021T2,"16640280,85","16096,00","7,97"
"Balears, Illes",Suecia,2021T1,"1870016,96","4767,00","10,37"
"Balears, Illes",Suecia,2020T4,"3529753,33","9852,00","12,53"
"Balears, Illes",Suecia,2020T3,"13190466,48","20966,00","8,50"
"Balears, Illes",Suecia,2020T2,"0,00","3209,00","13,47"
"Balears, Illes",Suecia,2020T1,"6597471,00","12307,00","10,73"
"Balears, Illes",Suiza,2023T2,"128492531,46","161814,00","5,17"
"Balears, Illes",Suiza,2023T1,"22633784,60","19917,00","6,23"
"Balears, Illes",Suiza,2022T4,"54622396,39","74577,00","6,20"
"Balears, Illes",Suiza,2022T3,"145737253,97","203888,00","6,10"
"Balears, Illes",Suiza,2022T2,"128772155,43","148855,00","5,57"
"Balears, Illes",Suiza,2022T1,"19200549,90","14856,00","7,30"
"Balears, Illes",Suiza,2021T4,"50963825,82","47835,00","6,80"
"Balears, Illes",Suiza,2021T3,"136016097,14","111905,00","6,17"
"Balears, Illes",Suiza,2021T2,"56755825,68","36109,00","6,50"
"Balears, Illes",Suiza,2021T1,"4016667,63","3211,00","9,57"
"Balears, Illes",Suiza,2020T4,"4976228,75","5239,00","11,77"
"Balears, Illes",Suiza,2020T3,"40906947,39","39266,00","9,57"
"Balears, Illes",Suiza,2020T2,"0,00","1618,00","14,93"
"Balears, Illes",Suiza,2020T1,"11149856,09","14480,00","7,27"
