RESIDENCIA/ORIGEN;Continentes;Países;Concepto turístico;CCAA de destino;Periodo;Total
Total;Europa;Belarús;Duración media de los viajes;Balears, Illes;2023M06;5,7
Total;Europa;Belarús;Duración media de los viajes;Balears, Illes;2023M05;5,5
Total;Europa;Belarús;Duración media de los viajes;Balears, Illes;2023M04;5,7
Total;Europa;Belarús;Duración media de los viajes;Balears, Illes;2023M03;5,1
Total;Europa;Belarús;Duración media de los viajes;Balears, Illes;2023M02;.
Total;Europa;Belarús;Duración media de los viajes;Balears, Illes;2023M01;6,7
Total;Europa;Belarús;Duración media de los viajes;Canarias;2023M09;8,5
Total;Europa;Belarús;Duración media de los viajes;Canarias;2023M08;8,8
Total;Europa;Belarús;Duración media de los viajes;Canarias;2023M07;8,3
Total;Europa;Belarús;Duración media de los viajes;Canarias;2023M06;9,2
Total;Europa;Belarús;Duración media de los viajes;Canarias;2023M05;7,8
Total;Europa;Belarús;Duración media de los viajes;Canarias;2023M04;8,8
Total;Europa;Belarús;Duración media de los viajes;Canarias;2023M03;9,6
Total;Europa;Belarús;Duración media de los viajes;Canarias;2023M02;8,4
Total;Europa;Belarús;Duración media de los viajes;Canarias;2023M01;8,0
Total;Europa;Bélgica;Turistas;Balears, Illes;2023M09;32.864
Total;Europa;Bélgica;Turistas;Balears, Illes;2023M08;31.126
Total;Europa;Bélgica;Turistas;Balears, Illes;2023M07;38.062
Total;Europa;Bélgica;Turistas;Balears, Illes;2023M06;29.213
Total;Europa;Bélgica;Turistas;Balears, Illes;2023M05;34.492
Total;Europa;Bélgica;Turistas;Balears, Illes;2023M04;21.092
Total;Europa;Bélgica;Turistas;Balears, Illes;2023M03;4.383
Total;Europa;Bélgica;Turistas;Balears, Illes;2023M02;2.439
Total;Europa;Bélgica;Turistas;Balears, Illes;2023M01;2.369
Total;Europa;Bélgica;Turistas;Canarias;2023M09;28.642
Total;Europa;Bélgica;Turistas;Canarias;2023M08;31.073
Total;Europa;Bélgica;Turistas;Canarias;2023M07;36.449
Total;Europa;Bélgica;Turistas;Canarias;2023M06;28.168
Total;Europa;Bélgica;Turistas;Canarias;2023M05;33.892
Total;Europa;Bélgica;Turistas;Canarias;2023M04;40.225
Total;Europa;Bélgica;Turistas;Canarias;2023M03;38.712
Total;Europa;Bélgica;Turistas;Canarias;2023M02;36.230
Total;Europa;Bélgica;Turistas;Canarias;2023M01;36.586
Total;Europa;Bélgica;Pernoctaciones;Balears, Illes;2023M09;197.184
Total;Europa;Bélgica;Pernoctaciones;Balears, Illes;2023M08;217.882
Total;Europa;Bélgica;Pernoctaciones;Balears, Illes;2023M07;243.597
Total;Europa;Bélgica;Pernoctaciones;Balears, Illes;2023M06;175.278
Total;Europa;Bélgica;Pernoctaciones;Balears, Illes;2023M05;186.257
