RESIDENCIA/ORIGEN;Continentes;Países;CCAA de destino;Concepto turístico;Periodo;Total
Total;Europa;Austria;Balears, Illes;Duración media de los viajes;2020M01;8,0
Total;Europa;Austria;Canarias;Turistas;2020M12;7.295
Total;Europa;Austria;Canarias;Turistas;2020M11;5.438
Total;Europa;Austria;Canarias;Turistas;2020M10;2.861
Total;Europa;Austria;Canarias;Turistas;2020M09;2.062
Total;Europa;Austria;Canarias;Turistas;2020M08;3.144
Total;Europa;Austria;Canarias;Turistas;2020M07;2.715
Total;Europa;Austria;Canarias;Turistas;2020M06;1.390
Total;Europa;Austria;Canarias;Turistas;2020M05;1.404
Total;Europa;Austria;Canarias;Turistas;2020M04;902
Total;Europa;Austria;Canarias;Turistas;2020M03;6.801
Total;Europa;Austria;Canarias;Turistas;2020M02;13.564
Total;Europa;Austria;Canarias;Turistas;2020M01;13.484
